ph,ph_s,wt,wt_s,ec,ec_s,status
1.166,2,8,2,4.944,1,221
11.581,1,32,1,4.757,1,111
1.009,2,1,2,0.643,2,222
13.465,1,28,1,0.804,2,112
8.95,1,29,1,4.244,1,111
0.886,2,57,1,0.721,2,212
11.077,1,8,2,3.047,1,121
1.586,2,53,1,4.71,1,211
12.899,1,73,1,1.435,0,110
6.154,0,26,0,1.78,0,000
6.212,0,0,2,0.345,2,022
7.747,1,76,1,3.409,1,111
0.655,2,20,0,0.252,2,202
1.408,2,1,2,2.061,1,221
6.418,0,24,0,4.045,1,001
0.636,2,23,0,2.35,1,201
1.778,2,86,1,3.356,1,211
11.787,1,84,1,3.624,1,111
9.211,1,63,1,3.474,1,111
9.711,1,85,1,2.342,1,111
10.935,1,96,1,4.743,1,111
6.821,0,35,1,3.944,1,011
3.786,2,5,2,1.938,1,221
6.857,0,94,1,2.908,1,011
1.413,2,43,1,0.399,2,212
12.436,1,19,0,1.53,0,100
13.754,1,74,1,1.822,1,111
9.247,1,85,1,3.983,1,111
13.046,1,64,1,0.527,2,112
6.682,0,56,1,0.949,2,012
10.473,1,32,1,3.1,1,111
8.31,1,56,1,1.342,0,110
0.33,2,96,1,1.188,2,212
8.498,1,94,1,0.082,2,112
2.406,2,77,1,4.152,1,211
3.768,2,89,1,0.07,2,212
9.905,1,74,1,3.967,1,111
4.56,2,25,0,1.589,0,200
6.024,0,64,1,2.102,1,011
6.213,0,65,1,0.216,2,012
1.272,2,91,1,3.23,1,211
1.499,2,38,1,1.352,0,210
13.998,1,91,1,3.475,1,111
11.339,1,40,1,4.698,1,111
6.804,0,100,1,3.067,1,011
0.413,2,54,1,4.076,1,211
7.149,1,9,2,1.907,1,121
11.057,1,34,1,0.181,2,112
6.678,0,73,1,3.944,1,011
9.686,1,48,1,2.352,1,111
1.847,2,57,1,0.908,2,212
1.646,2,99,1,2.159,1,211
6.474,0,14,2,0.484,2,022
6.541,0,19,0,1.575,0,000
6.463,0,19,0,1.677,0,000
11.641,1,17,2,3.867,1,121
7.901,1,71,1,3.653,1,111
9.73,1,5,2,2.637,1,121
4.217,2,36,1,2.679,1,211
12.121,1,61,1,3.456,1,111
3.877,2,55,1,4.959,1,211
0.253,2,95,1,0.982,2,212
10.988,1,14,2,4.305,1,121
10.395,1,40,1,0.385,2,112
11.732,1,81,1,3.773,1,111
6.391,0,37,1,4.946,1,011
13.709,1,64,1,0.868,2,112
10.677,1,74,1,1.103,2,112
12.603,1,58,1,0.147,2,112
6.19,0,23,0,1.241,0,000
13.87,1,3,2,0.417,2,122
7.133,1,4,2,4.58,1,121
1.755,2,42,1,0.153,2,212
5.45,2,49,1,0.118,2,212
12.704,1,66,1,0.869,2,112
0.279,2,62,1,3.962,1,211
4.44,2,28,1,3.881,1,211
5.761,2,39,1,1.805,1,211
13.72,1,39,1,3.315,1,111
6.304,0,54,1,1.11,2,012
3.175,2,41,1,1.837,1,211
9.875,1,36,1,1.462,0,110
13.164,1,8,2,3.549,1,121
3.04,2,65,1,0.859,2,212
0.951,2,46,1,2.989,1,211
9.113,1,81,1,3.359,1,111
13.798,1,75,1,2.442,1,111
11.441,1,53,1,4.437,1,111
11.716,1,50,1,4.761,1,111
12.867,1,94,1,4.082,1,111
10.83,1,82,1,3.739,1,111
13.426,1,46,1,1.573,0,110
8.326,1,0,2,0.307,2,122
3.048,2,47,1,1.22,0,210
11.857,1,91,1,0.813,2,112
2.358,2,59,1,2.431,1,211
10.901,1,67,1,3.01,1,111
5.641,2,48,1,2.88,1,211
7.284,1,7,2,4.281,1,121
1.638,2,44,1,0.904,2,212
10.316,1,40,1,2.922,1,111
2.669,2,88,1,3.977,1,211
0.541,2,96,1,0.307,2,212
11.175,1,90,1,0.752,2,112
4.276,2,13,2,2.666,1,221
2.516,2,55,1,0.182,2,212
6.326,0,57,1,0.604,2,012
9.058,1,44,1,1.693,0,110
10.673,1,29,1,2.521,1,111
8.956,1,64,1,1.158,2,112
8.512,1,63,1,4.079,1,111
0.062,2,45,1,4.533,1,211
10.873,1,50,1,0.22,2,112
8.496,1,82,1,2.322,1,111
1.249,2,90,1,4.025,1,211
3.896,2,44,1,2.807,1,211
11.218,1,85,1,0.92,2,112
11.929,1,47,1,4.351,1,111
1.091,2,76,1,2.22,1,211
0.695,2,41,1,3.286,1,211
3.709,2,2,2,1.263,0,220
3.941,2,1,2,1.613,0,220
11.314,1,31,1,4.161,1,111
5.617,2,59,1,3.433,1,211
4.043,2,11,2,4.294,1,221
3.17,2,60,1,0.709,2,212
6.444,0,17,2,2.718,1,021
2.727,2,45,1,4.528,1,211
13.691,1,10,2,0.342,2,122
5.603,2,93,1,2.313,1,211
11.244,1,35,1,3.199,1,111
9.797,1,33,1,3.179,1,111
8.502,1,30,1,4.161,1,111
6.36,0,74,1,1.801,1,011
7.602,1,4,2,3.074,1,121
2.203,2,68,1,2.934,1,211
7.412,1,36,1,2.234,1,111
9.312,1,96,1,4.89,1,111
9.703,1,13,2,0.11,2,122
6.572,0,23,0,1.291,0,000
8.105,1,80,1,0.105,2,112
3.486,2,35,1,3.145,1,211
6.784,0,23,0,1.658,0,000
11.986,1,80,1,0.205,2,112
6.793,0,5,2,0.671,2,022
10.771,1,9,2,3.14,1,121
7.291,1,53,1,2.636,1,111
8.263,1,83,1,0.912,2,112
13.053,1,97,1,3.084,1,111
1.163,2,46,1,1.618,0,210
0.381,2,35,1,3.048,1,211
3.91,2,33,1,4.927,1,211
1.287,2,69,1,1.407,0,210
11.847,1,21,0,2.246,1,101
5.598,2,62,1,1.393,0,210
6.44,0,22,0,1.652,0,000
13.506,1,11,2,1.79,0,120
7.384,1,58,1,1.418,0,110
12.494,1,43,1,3.203,1,111
8.138,1,63,1,3.247,1,111
13.258,1,98,1,0.704,2,112
2.216,2,86,1,2.901,1,211
1.202,2,70,1,0.072,2,212
11.489,1,11,2,3.025,1,121
10.468,1,79,1,2.391,1,111
7.542,1,99,1,4.464,1,111
6.149,0,5,2,0.77,2,022
6.737,0,24,0,1.353,0,000
10.824,1,59,1,0.561,2,112
13.684,1,93,1,4.072,1,111
2.57,2,67,1,3.515,1,211
9.566,1,72,1,0.22,2,112
3.511,2,43,1,2.773,1,211
13.933,1,74,1,0.283,2,112
13.6,1,31,1,0.587,2,112
1.364,2,47,1,3.608,1,211
1.702,2,89,1,2.178,1,211
12.237,1,88,1,4.991,1,111
3.244,2,74,1,2.904,1,211
5.176,2,53,1,1.017,2,212
6.884,0,7,2,3.778,1,021
13.6,1,56,1,0.168,2,112
9.576,1,99,1,2.721,1,111
12.331,1,9,2,2.603,1,121
3.935,2,32,1,0.62,2,212
5.066,2,14,2,1.519,0,220
12.338,1,100,1,4.144,1,111
0.875,2,15,2,0.594,2,222
6.704,0,27,1,1.885,1,011
6.323,0,0,2,1.091,2,022
11.692,1,89,1,0.033,2,112
3.623,2,67,1,2.008,1,211
8.06,1,75,1,1.15,2,112
13.65,1,21,0,0.91,2,102
0.752,2,4,2,1.748,0,220
10.001,1,88,1,1.096,2,112
6.424,0,64,1,1.685,0,010
5.008,2,88,1,1.825,1,211
1.394,2,12,2,2.041,1,221
1.064,2,76,1,4.564,1,211
0.827,2,72,1,0.179,2,212
1.351,2,60,1,1.025,2,212
12.29,1,69,1,3.789,1,111
8.421,1,41,1,2.965,1,111
6.492,0,2,2,4.667,1,021
13.666,1,4,2,1.356,0,120
10.772,1,70,1,2.471,1,111
13.253,1,45,1,4.668,1,111
7.067,1,80,1,0.115,2,112
5.984,2,91,1,3.582,1,211
6.556,0,39,1,0.885,2,012
6.06,0,9,2,0.965,2,022
3.987,2,66,1,4.412,1,211
8.457,1,56,1,2.531,1,111
0.674,2,52,1,1.367,0,210
4.216,2,48,1,4.654,1,211
5.521,2,3,2,4.557,1,221
11.903,1,92,1,3.338,1,111
0.571,2,30,1,3.599,1,211
6.537,0,8,2,0.159,2,022
0.693,2,27,1,3.467,1,211
4.083,2,71,1,3.992,1,211
5.862,2,80,1,1.248,0,210
12.14,1,88,1,2.707,1,111
7.694,1,82,1,1.236,0,110
8.504,1,26,0,4.68,1,101
10.688,1,64,1,0.867,2,112
10.802,1,8,2,3.398,1,121
2.735,2,53,1,2.712,1,211
9.494,1,77,1,4.078,1,111
2.228,2,25,0,1.846,1,201
0.35,2,84,1,2.805,1,211
8.915,1,96,1,0.362,2,112
6.138,0,41,1,3.868,1,011
0.061,2,44,1,4.529,1,211
12.78,1,6,2,0.03,2,122
7.579,1,47,1,1.468,0,110
6.197,0,21,0,1.223,0,000
7.004,1,95,1,3.814,1,111
2.308,2,15,2,0.753,2,222
6.737,0,14,2,0.567,2,022
6.983,0,45,1,4.775,1,011
11.719,1,67,1,0.592,2,112
1.337,2,29,1,1.87,1,211
4.202,2,67,1,1.136,2,212
10.406,1,16,2,0.888,2,122
0.841,2,90,1,0.764,2,212
4.74,2,81,1,2.011,1,211
2.675,2,70,1,3.754,1,211
9.41,1,30,1,4.554,1,111
10.514,1,11,2,4.97,1,121
11.813,1,99,1,0.05,2,112
5.178,2,100,1,4.592,1,211
8.135,1,48,1,2.412,1,111
2.858,2,21,0,3.664,1,201
5.345,2,62,1,0.845,2,212
2.828,2,59,1,1.168,2,212
4.662,2,28,1,2.221,1,211
3.704,2,7,2,2.448,1,221
2.894,2,12,2,2.536,1,221
7.193,1,38,1,1.479,0,110
10.143,1,11,2,4.419,1,121
3.607,2,90,1,2.765,1,211
3.968,2,77,1,2.422,1,211
4.89,2,22,0,0.558,2,202
1.76,2,35,1,0.623,2,212
5.78,2,44,1,4.827,1,211
10.704,1,94,1,3.258,1,111
3.509,2,29,1,4.974,1,211
6.213,0,21,0,1.436,0,000
2.541,2,76,1,0.461,2,212
6.549,0,10,2,0.343,2,022
8.133,1,89,1,2.432,1,111
2.093,2,19,0,2.229,1,201
8.538,1,76,1,0.7,2,112
1.08,2,30,1,2.74,1,211
12.357,1,24,0,1.004,2,102
11.171,1,74,1,0.136,2,112
2.207,2,58,1,4.856,1,211
1.581,2,32,1,2.195,1,211
4.797,2,19,0,4.549,1,201
1.484,2,92,1,4.776,1,211
9.641,1,38,1,3.53,1,111
8.285,1,70,1,3.287,1,111
12.592,1,68,1,2.432,1,111
