ph,ph_s,wt,wt_s,ec,ec_s
7.484,1,11,2,4.57,1
11.442,1,2,2,2.534,1
13.754,1,74,1,1.822,1
10.351,1,67,1,3.66,1
8.781,1,15,2,0.934,2
8.295,1,29,1,4.76,1
3.935,2,32,1,0.62,2
8.138,1,63,1,3.247,1
9.983,1,79,1,4.297,1
12.24,1,64,1,1.792,0
1.185,2,94,1,0.211,2
7.602,1,4,2,3.074,1
12.326,1,33,1,4.242,1
2.703,2,31,1,1.417,0
8.915,1,96,1,0.362,2
5.516,2,34,1,0.633,2
4.318,2,83,1,1.73,0
4.137,2,2,2,3.669,1
11.929,1,47,1,4.351,1
8.105,1,80,1,0.105,2
1.246,2,48,1,3.497,1
8.498,1,94,1,0.082,2
3.623,2,67,1,2.008,1
7.301,1,87,1,0.096,2
6.821,0,35,1,3.944,1
10.704,1,94,1,3.258,1
6.677,0,34,1,1.768,0
5.641,2,98,1,0.841,2
10.18,1,36,1,0.126,2
13.15,1,12,2,4.542,1
4.684,2,43,1,3.568,1
5.731,2,78,1,2.93,1
5.906,2,59,1,3.633,1
12.084,1,100,1,4.808,1
7.849,1,93,1,1.317,0
6.182,0,73,1,0.459,2
8.655,1,95,1,4.787,1
2.321,2,68,1,3.214,1
9.04,1,11,2,2.034,1
8.586,1,38,1,1.265,0
7.817,1,20,0,4.777,1
12.791,1,43,1,0.193,2
1.788,2,4,2,3.615,1
8.483,1,86,1,3.272,1
11.253,1,31,1,3.57,1
10.406,1,16,2,0.888,2
7.284,1,7,2,4.281,1
12.334,1,63,1,4.028,1
1.719,2,38,1,0.927,2
7.133,1,4,2,4.58,1
13.132,1,76,1,4.046,1
13.998,1,91,1,3.475,1
3.133,2,0,2,1.286,0
6.326,0,57,1,0.604,2
5.925,2,89,1,0.52,2
9.703,1,13,2,0.11,2
10.608,1,35,1,4.867,1
4.039,2,15,2,3.95,1
13.164,1,8,2,3.549,1
11.804,1,81,1,4.515,1
2.735,2,53,1,2.712,1
7.747,1,76,1,3.409,1
11.304,1,85,1,2.412,1
1.484,2,92,1,4.776,1
0.875,2,15,2,0.594,2
2.57,2,67,1,3.515,1
3.896,2,44,1,2.807,1
2.023,2,55,1,1.672,0
11.557,1,42,1,0.686,2
10.067,1,60,1,3.699,1
11.25,1,61,1,3.222,1
8.956,1,64,1,1.158,2
9.494,1,77,1,4.078,1
5.075,2,45,1,2.098,1
6.608,0,60,1,4.67,1
1.846,2,5,2,2.724,1
1.408,2,1,2,2.061,1
12.843,1,27,1,3.61,1
10.805,1,6,2,1.758,0
10.006,1,96,1,0.106,2
8.707,1,47,1,2.603,1
3.58,2,98,1,2.607,1
1.778,2,86,1,3.356,1
10.129,1,67,1,1.958,1
13.504,1,0,2,1.037,2
5.345,2,62,1,0.845,2
6.022,0,19,0,1.484,0
13.691,1,10,2,0.342,2
10.146,1,77,1,3.382,1
0.636,2,4,2,0.178,2
0.507,2,22,0,2.629,1
6.022,0,90,1,2.723,1
3.745,2,26,0,1.199,2
1.859,2,36,1,0.372,2
7.434,1,62,1,2.807,1
12.494,1,43,1,3.203,1
6.884,0,7,2,3.778,1
13.253,1,45,1,4.668,1
11.659,1,74,1,1.686,0
6.283,0,7,2,3.451,1
4.276,2,13,2,2.666,1
5.066,2,14,2,1.519,0
12.642,1,16,2,2.599,1
9.737,1,23,0,2.63,1
3.59,2,70,1,3.098,1
10.736,1,57,1,0.26,2
5.183,2,24,0,4.94,1
8.285,1,70,1,3.287,1
0.604,2,68,1,2.036,1
13.617,1,83,1,4.055,1
10.275,1,23,0,0.686,2
6.542,0,57,1,3.922,1
0.581,2,45,1,2.808,1
4.976,2,64,1,3.374,1
5.302,2,73,1,0.108,2
3.444,2,79,1,2.279,1
2.436,2,31,1,4.064,1
1.231,2,81,1,3.796,1
9.875,1,6,2,3.926,1
4.862,2,97,1,4.548,1
13.258,1,98,1,0.704,2
1.161,2,20,0,4.925,1
1.351,2,60,1,1.025,2
1.073,2,40,1,4.933,1
2.477,2,62,1,2.889,1
10.001,1,88,1,1.096,2
6.857,0,94,1,2.908,1
11.29,1,94,1,0.219,2
