ph,ph_s,wt,wt_s,ec,ec_s,status,id
4.862,2,97,1,4.548,1,211,698
5.434,2,19,0,3.816,1,201,699
4.666,2,75,1,4.921,1,211,700
8.589,1,68,1,3.722,1,111,701
7.961,1,21,0,1.079,2,102,702
3.924,2,40,1,0.697,2,212,703
2.414,2,31,1,0.889,2,212,704
0.96,2,44,1,4.729,1,211,705
13.485,1,3,2,3.778,1,121,706
5.763,2,18,0,0.669,2,202,707
3.718,2,87,1,4.34,1,211,708
6.234,0,81,1,0.271,2,12,709
12.697,1,27,1,4.582,1,111,710
4.118,2,47,1,3.221,1,211,711
6.312,0,18,2,0.123,2,22,712
2.346,2,99,1,3.721,1,211,713
11.85,1,28,1,1.79,0,110,714
0.633,2,17,2,2.698,1,221,715
1.554,2,3,2,1.07,2,222,716
0.395,2,23,0,4.404,1,201,717
3.053,2,18,0,0.038,2,202,718
2.832,2,20,0,2.819,1,201,719
8.927,1,96,1,2.209,1,111,720
1.892,2,44,1,4.553,1,211,721
6.382,0,96,1,2.224,1,11,722
8.349,1,2,2,1.254,0,120,723
10.877,1,80,1,1.582,0,110,724
1.564,2,13,2,2.166,1,221,725
5.047,2,47,1,1.468,0,210,726
0.576,2,28,1,0.171,2,212,727
13.135,1,46,1,0.856,2,112,728
10.471,1,28,1,0.745,2,112,729
4.478,2,91,1,1.47,0,210,730
6.245,0,70,1,4.836,1,11,731
4.99,2,64,1,3.826,1,211,732
6.249,0,50,1,3.613,1,11,733
8.438,1,96,1,3.199,1,111,734
13.046,1,14,2,3.494,1,121,735
10.96,1,7,2,3.575,1,121,736
8.456,1,0,2,2.214,1,121,737
4.32,2,100,1,4.857,1,211,738
6.608,0,60,1,4.67,1,11,739
0.92,2,76,1,0.58,2,212,740
6.725,0,1,2,0.928,2,22,741
10.018,1,51,1,1,2,112,742
6.339,0,24,0,1.647,0,0,743
0.445,2,21,0,3.601,1,201,744
8.189,1,52,1,1.46,0,110,745
0.513,2,92,1,2.904,1,211,746
7.585,1,78,1,0.566,2,112,747
2.588,2,5,2,0.475,2,222,748
12.167,1,69,1,0.866,2,112,749
1.075,2,78,1,3.387,1,211,750
10.547,1,77,1,3.797,1,111,751
10.146,1,77,1,3.382,1,111,752
12.998,1,38,1,3.077,1,111,753
3.192,2,66,1,2.552,1,211,754
0.574,2,89,1,2.484,1,211,755
7.853,1,27,1,4.198,1,111,756
1.206,2,21,0,2.46,1,201,757
8.507,1,39,1,0.473,2,112,758
12.648,1,57,1,4.707,1,111,759
8.341,1,84,1,0.101,2,112,760
12.843,1,27,1,3.61,1,111,761
6.85,0,9,2,0.808,2,22,762
1.073,2,40,1,4.933,1,211,763
9.2,1,1,2,0.805,2,122,764
8.712,1,30,1,1.738,0,110,765
4.006,2,49,1,1.365,0,210,766
1.81,2,44,1,1.312,0,210,767
8.791,1,7,2,2.794,1,121,768
2.454,2,71,1,2.061,1,211,769
0.794,2,96,1,1.283,0,210,770
6.044,0,85,1,4.439,1,11,771
0.507,2,22,0,2.629,1,201,772
1.718,2,55,1,2.89,1,211,773
3.667,2,18,0,2.249,1,201,774
0.583,2,21,0,0.547,2,202,775
1.166,2,8,2,4.944,1,221,776
11.581,1,32,1,4.757,1,111,777
1.009,2,1,2,0.643,2,222,778
13.465,1,28,1,0.804,2,112,779
8.95,1,29,1,4.244,1,111,780
0.886,2,57,1,0.721,2,212,781
11.077,1,8,2,3.047,1,121,782
1.586,2,53,1,4.71,1,211,783
12.899,1,73,1,1.435,0,110,784
6.154,0,26,0,1.78,0,0,785
6.212,0,0,2,0.345,2,22,786
7.747,1,76,1,3.409,1,111,787
0.655,2,20,0,0.252,2,202,788
1.408,2,1,2,2.061,1,221,789
6.418,0,24,0,4.045,1,1,790
0.636,2,23,0,2.35,1,201,791
1.778,2,86,1,3.356,1,211,792
11.787,1,84,1,3.624,1,111,793
9.211,1,63,1,3.474,1,111,794
9.711,1,85,1,2.342,1,111,795
10.935,1,96,1,4.743,1,111,796
6.821,0,35,1,3.944,1,11,797
3.786,2,5,2,1.938,1,221,798
6.857,0,94,1,2.908,1,11,799
1.413,2,43,1,0.399,2,212,800
12.436,1,19,0,1.53,0,100,801
13.754,1,74,1,1.822,1,111,802
9.247,1,85,1,3.983,1,111,803
13.046,1,64,1,0.527,2,112,804
6.682,0,56,1,0.949,2,12,805
10.473,1,32,1,3.1,1,111,806
8.31,1,56,1,1.342,0,110,807
0.33,2,96,1,1.188,2,212,808
8.498,1,94,1,0.082,2,112,809
2.406,2,77,1,4.152,1,211,810
3.768,2,89,1,0.07,2,212,811
9.905,1,74,1,3.967,1,111,812
4.56,2,25,0,1.589,0,200,813
6.024,0,64,1,2.102,1,11,814
6.213,0,65,1,0.216,2,12,815
1.272,2,91,1,3.23,1,211,816
1.499,2,38,1,1.352,0,210,817
13.998,1,91,1,3.475,1,111,818
11.339,1,40,1,4.698,1,111,819
6.804,0,100,1,3.067,1,11,820
0.413,2,54,1,4.076,1,211,821
7.149,1,9,2,1.907,1,121,822
11.057,1,34,1,0.181,2,112,823
6.678,0,73,1,3.944,1,11,824
9.686,1,48,1,2.352,1,111,825
1.847,2,57,1,0.908,2,212,826
1.646,2,99,1,2.159,1,211,827
6.474,0,14,2,0.484,2,22,828
6.541,0,19,0,1.575,0,0,829
6.463,0,19,0,1.677,0,0,830
11.641,1,17,2,3.867,1,121,831
7.901,1,71,1,3.653,1,111,832
9.73,1,5,2,2.637,1,121,833
4.217,2,36,1,2.679,1,211,834
12.121,1,61,1,3.456,1,111,835
3.877,2,55,1,4.959,1,211,836
0.253,2,95,1,0.982,2,212,837
10.988,1,14,2,4.305,1,121,838
10.395,1,40,1,0.385,2,112,839
11.732,1,81,1,3.773,1,111,840
6.391,0,37,1,4.946,1,11,841
13.709,1,64,1,0.868,2,112,842
10.677,1,74,1,1.103,2,112,843
12.603,1,58,1,0.147,2,112,844
6.19,0,23,0,1.241,0,0,845
13.87,1,3,2,0.417,2,122,846
7.133,1,4,2,4.58,1,121,847
1.755,2,42,1,0.153,2,212,848
5.45,2,49,1,0.118,2,212,849
12.704,1,66,1,0.869,2,112,850
0.279,2,62,1,3.962,1,211,851
4.44,2,28,1,3.881,1,211,852
5.761,2,39,1,1.805,1,211,853
13.72,1,39,1,3.315,1,111,854
6.304,0,54,1,1.11,2,12,855
3.175,2,41,1,1.837,1,211,856
9.875,1,36,1,1.462,0,110,857
13.164,1,8,2,3.549,1,121,858
3.04,2,65,1,0.859,2,212,859
0.951,2,46,1,2.989,1,211,860
9.113,1,81,1,3.359,1,111,861
13.798,1,75,1,2.442,1,111,862
11.441,1,53,1,4.437,1,111,863
11.716,1,50,1,4.761,1,111,864
12.867,1,94,1,4.082,1,111,865
10.83,1,82,1,3.739,1,111,866
13.426,1,46,1,1.573,0,110,867
8.326,1,0,2,0.307,2,122,868
3.048,2,47,1,1.22,0,210,869
11.857,1,91,1,0.813,2,112,870
2.358,2,59,1,2.431,1,211,871
10.901,1,67,1,3.01,1,111,872
5.641,2,48,1,2.88,1,211,873
7.284,1,7,2,4.281,1,121,874
1.638,2,44,1,0.904,2,212,875
10.316,1,40,1,2.922,1,111,876
2.669,2,88,1,3.977,1,211,877
0.541,2,96,1,0.307,2,212,878
11.175,1,90,1,0.752,2,112,879
4.276,2,13,2,2.666,1,221,880
2.516,2,55,1,0.182,2,212,881
6.326,0,57,1,0.604,2,12,882
9.058,1,44,1,1.693,0,110,883
10.673,1,29,1,2.521,1,111,884
8.956,1,64,1,1.158,2,112,885
8.512,1,63,1,4.079,1,111,886
0.062,2,45,1,4.533,1,211,887
10.873,1,50,1,0.22,2,112,888
8.496,1,82,1,2.322,1,111,889
1.249,2,90,1,4.025,1,211,890
3.896,2,44,1,2.807,1,211,891
11.218,1,85,1,0.92,2,112,892
11.929,1,47,1,4.351,1,111,893
1.091,2,76,1,2.22,1,211,894
0.695,2,41,1,3.286,1,211,895
3.709,2,2,2,1.263,0,220,896
3.941,2,1,2,1.613,0,220,897
11.314,1,31,1,4.161,1,111,898
5.617,2,59,1,3.433,1,211,899
4.043,2,11,2,4.294,1,221,900
3.17,2,60,1,0.709,2,212,901
6.444,0,17,2,2.718,1,21,902
2.727,2,45,1,4.528,1,211,903
13.691,1,10,2,0.342,2,122,904
5.603,2,93,1,2.313,1,211,905
11.244,1,35,1,3.199,1,111,906
9.797,1,33,1,3.179,1,111,907
8.502,1,30,1,4.161,1,111,908
6.36,0,74,1,1.801,1,11,909
7.602,1,4,2,3.074,1,121,910
2.203,2,68,1,2.934,1,211,911
7.412,1,36,1,2.234,1,111,912
9.312,1,96,1,4.89,1,111,913
9.703,1,13,2,0.11,2,122,914
6.572,0,23,0,1.291,0,0,915
8.105,1,80,1,0.105,2,112,916
3.486,2,35,1,3.145,1,211,917
6.784,0,23,0,1.658,0,0,918
11.986,1,80,1,0.205,2,112,919
6.793,0,5,2,0.671,2,22,920
10.771,1,9,2,3.14,1,121,921
7.291,1,53,1,2.636,1,111,922
8.263,1,83,1,0.912,2,112,923
13.053,1,97,1,3.084,1,111,924
1.163,2,46,1,1.618,0,210,925
0.381,2,35,1,3.048,1,211,926
3.91,2,33,1,4.927,1,211,927
1.287,2,69,1,1.407,0,210,928
11.847,1,21,0,2.246,1,101,929
5.598,2,62,1,1.393,0,210,930
6.44,0,22,0,1.652,0,0,931
13.506,1,11,2,1.79,0,120,932
7.384,1,58,1,1.418,0,110,933
12.494,1,43,1,3.203,1,111,934
8.138,1,63,1,3.247,1,111,935
13.258,1,98,1,0.704,2,112,936
2.216,2,86,1,2.901,1,211,937
1.202,2,70,1,0.072,2,212,938
11.489,1,11,2,3.025,1,121,939
10.468,1,79,1,2.391,1,111,940
7.542,1,99,1,4.464,1,111,941
6.149,0,5,2,0.77,2,22,942
6.737,0,24,0,1.353,0,0,943
10.824,1,59,1,0.561,2,112,944
13.684,1,93,1,4.072,1,111,945
2.57,2,67,1,3.515,1,211,946
9.566,1,72,1,0.22,2,112,947
3.511,2,43,1,2.773,1,211,948
13.933,1,74,1,0.283,2,112,949
13.6,1,31,1,0.587,2,112,950
1.364,2,47,1,3.608,1,211,951
1.702,2,89,1,2.178,1,211,952
12.237,1,88,1,4.991,1,111,953
3.244,2,74,1,2.904,1,211,954
5.176,2,53,1,1.017,2,212,955
6.884,0,7,2,3.778,1,21,956
13.6,1,56,1,0.168,2,112,957
9.576,1,99,1,2.721,1,111,958
12.331,1,9,2,2.603,1,121,959
3.935,2,32,1,0.62,2,212,960
5.066,2,14,2,1.519,0,220,961
12.338,1,100,1,4.144,1,111,962
0.875,2,15,2,0.594,2,222,963
6.704,0,27,1,1.885,1,11,964
6.323,0,0,2,1.091,2,22,965
11.692,1,89,1,0.033,2,112,966
3.623,2,67,1,2.008,1,211,967
8.06,1,75,1,1.15,2,112,968
13.65,1,21,0,0.91,2,102,969
0.752,2,4,2,1.748,0,220,970
10.001,1,88,1,1.096,2,112,971
6.424,0,64,1,1.685,0,10,972
5.008,2,88,1,1.825,1,211,973
1.394,2,12,2,2.041,1,221,974
1.064,2,76,1,4.564,1,211,975
0.827,2,72,1,0.179,2,212,976
1.351,2,60,1,1.025,2,212,977
12.29,1,69,1,3.789,1,111,978
8.421,1,41,1,2.965,1,111,979
6.492,0,2,2,4.667,1,21,980
13.666,1,4,2,1.356,0,120,981
10.772,1,70,1,2.471,1,111,982
13.253,1,45,1,4.668,1,111,983
7.067,1,80,1,0.115,2,112,984
5.984,2,91,1,3.582,1,211,985
6.556,0,39,1,0.885,2,12,986
6.06,0,9,2,0.965,2,22,987
3.987,2,66,1,4.412,1,211,988
8.457,1,56,1,2.531,1,111,989
0.674,2,52,1,1.367,0,210,990
4.216,2,48,1,4.654,1,211,991
5.521,2,3,2,4.557,1,221,992
11.903,1,92,1,3.338,1,111,993
0.571,2,30,1,3.599,1,211,994
6.537,0,8,2,0.159,2,22,995
0.693,2,27,1,3.467,1,211,996
4.083,2,71,1,3.992,1,211,997
5.862,2,80,1,1.248,0,210,998
12.14,1,88,1,2.707,1,111,999
7.694,1,82,1,1.236,0,110,1000
8.504,1,26,0,4.68,1,101,1001
10.688,1,64,1,0.867,2,112,1002
10.802,1,8,2,3.398,1,121,1003
2.735,2,53,1,2.712,1,211,1004
9.494,1,77,1,4.078,1,111,1005
2.228,2,25,0,1.846,1,201,1006
0.35,2,84,1,2.805,1,211,1007
8.915,1,96,1,0.362,2,112,1008
6.138,0,41,1,3.868,1,11,1009
0.061,2,44,1,4.529,1,211,1010
12.78,1,6,2,0.03,2,122,1011
7.579,1,47,1,1.468,0,110,1012
6.197,0,21,0,1.223,0,0,1013
7.004,1,95,1,3.814,1,111,1014
2.308,2,15,2,0.753,2,222,1015
6.737,0,14,2,0.567,2,22,1016
6.983,0,45,1,4.775,1,11,1017
11.719,1,67,1,0.592,2,112,1018
1.337,2,29,1,1.87,1,211,1019
4.202,2,67,1,1.136,2,212,1020
10.406,1,16,2,0.888,2,122,1021
0.841,2,90,1,0.764,2,212,1022
4.74,2,81,1,2.011,1,211,1023
2.675,2,70,1,3.754,1,211,1024
9.41,1,30,1,4.554,1,111,1025
10.514,1,11,2,4.97,1,121,1026
11.813,1,99,1,0.05,2,112,1027
5.178,2,100,1,4.592,1,211,1028
8.135,1,48,1,2.412,1,111,1029
2.858,2,21,0,3.664,1,201,1030
5.345,2,62,1,0.845,2,212,1031
2.828,2,59,1,1.168,2,212,1032
4.662,2,28,1,2.221,1,211,1033
3.704,2,7,2,2.448,1,221,1034
2.894,2,12,2,2.536,1,221,1035
7.193,1,38,1,1.479,0,110,1036
10.143,1,11,2,4.419,1,121,1037
3.607,2,90,1,2.765,1,211,1038
3.968,2,77,1,2.422,1,211,1039
4.89,2,22,0,0.558,2,202,1040
1.76,2,35,1,0.623,2,212,1041
5.78,2,44,1,4.827,1,211,1042
10.704,1,94,1,3.258,1,111,1043
3.509,2,29,1,4.974,1,211,1044
6.213,0,21,0,1.436,0,0,1045
2.541,2,76,1,0.461,2,212,1046
6.549,0,10,2,0.343,2,22,1047
8.133,1,89,1,2.432,1,111,1048
2.093,2,19,0,2.229,1,201,1049
8.538,1,76,1,0.7,2,112,1050
1.08,2,30,1,2.74,1,211,1051
12.357,1,24,0,1.004,2,102,1052
11.171,1,74,1,0.136,2,112,1053
2.207,2,58,1,4.856,1,211,1054
1.581,2,32,1,2.195,1,211,1055
4.797,2,19,0,4.549,1,201,1056
1.484,2,92,1,4.776,1,211,1057
9.641,1,38,1,3.53,1,111,1058
8.285,1,70,1,3.287,1,111,1059
12.592,1,68,1,2.432,1,111,1060
