ph,ph_s,wt,wt_s,ec,ec_s,status
1.73,2,18.59,0,0.92,2,202
6.76,1,26.5,1,1.64,0,110
5.86,0,19.36,0,0.86,2,2
0.85,2,24.68,1,6.45,1,211
9.24,1,5.19,2,0.26,2,122
7.91,1,20,0,0.94,2,102
5.98,0,20,0,1.59,0,0
6.84,1,27,1,1.62,0,110
6.52,1,19.86,0,5.83,1,101
6.74,1,27,1,2.03,0,110
6.15,0,8.91,2,1.57,0,20
9.95,1,42.99,1,1.02,2,112
6.83,1,26.5,1,1.63,0,110
6.74,1,27,1,1.91,0,110
4.6,2,20.12,0,2.44,0,200
5.67,0,20,0,2.27,0,0
13.4,1,81.57,1,6.51,1,111
5.03,2,10.74,2,1.09,2,222
6.8,1,26.5,1,1.72,0,110
2.3,2,19.98,0,2.47,0,200
6.1,0,19.64,0,8.28,1,1
5.5,0,6.5,2,5.21,1,21
6.77,1,26.5,1,1.71,0,110
6.04,0,13.39,2,1.74,0,20
2.4,2,58.6,1,8.36,1,211
11.15,1,21.51,0,2.23,0,100
5.56,0,18.88,0,1,2,2
6.74,1,27,1,2.01,0,110
6.74,1,27,1,1.93,0,110
8.03,1,44.81,1,5.21,1,111
6.04,0,21.71,0,0.19,2,2
4.48,2,13.09,2,2.36,0,220
2.09,2,31.89,1,2.18,0,210
5.89,0,1.6,2,1.08,2,22
5.09,2,6.55,2,1.06,2,222
0.29,2,12.16,2,2.08,0,220
2.22,2,20.13,0,2.41,0,200
1.22,2,59.39,1,0.61,2,212
1.89,2,92.55,1,3.13,1,211
5.59,0,20.92,0,4.34,1,1
5.58,0,20.88,0,7.36,1,1
7.69,1,87.2,1,1.17,2,112
5.74,0,44.03,1,2.84,1,11
6.75,1,27,1,2.05,0,110
12.47,1,7.06,2,8.85,1,121
4.11,2,7.83,2,2.49,0,220
6.17,0,7.46,2,4.12,1,21
5.58,0,19.68,0,6.04,1,1
10.94,1,19.46,0,9.69,1,101
6.85,1,26.5,1,1.63,0,110
6.82,1,27,1,1.63,0,110
6.74,1,27,1,1.88,0,110
6.83,1,26.5,1,1.64,0,110
6.68,1,27,1,1.97,0,110
3.25,2,20.26,0,1.67,0,200
6.77,1,26.5,1,1.62,0,110
3.91,2,37.77,1,2.46,0,210
5.78,0,52.06,1,2.42,0,10
6.78,1,27,1,1.7,0,110
6.7,1,27,1,2,0,110
5.64,0,19.5,0,1.39,0,0
8.73,1,17.98,2,0.35,2,122
5.95,0,12.97,2,0.7,2,22
6.11,0,45.59,1,1.58,0,10
5.75,0,73.9,1,0.93,2,12
6.72,1,27,1,1.9,0,110
2.69,2,42.04,1,2.24,0,210
5.58,0,5.9,2,7.01,1,21
3.9,2,21.51,0,1.91,0,200
5.08,2,26.6,1,5.44,1,211
6.71,1,27,1,2,0,110
0.8,2,20.11,0,0.67,2,202
4.59,2,19.33,0,0.71,2,202
5.47,2,8.69,2,3.28,1,221
6.16,0,20.75,0,0.04,2,2
0.77,2,99.45,1,9.74,1,211
5.51,0,11.57,2,3.3,1,21
6.18,0,18.69,0,3.56,1,1
6.08,0,88.92,1,0.36,2,12
5.95,0,10,2,1.28,0,20
1.81,2,21.86,0,1.52,0,200
5.63,0,5.47,2,1.93,0,20
7.11,1,97.08,1,0.91,2,112
5.73,0,2.72,2,8.15,1,21
5.56,0,19,0,1.66,0,0
11.01,1,9.16,2,1.79,0,120
6.85,1,27,1,1.63,0,110
12.99,1,10.52,2,1.12,2,122
5.67,0,21.35,0,0.02,2,2
1.64,2,41.32,1,9.04,1,211
6.06,0,97.4,1,5.21,1,11
6.06,0,22,0,1.51,0,0
3.94,2,15.07,2,2.36,0,220
13.25,1,5.15,2,0.71,2,122
4.42,2,18.63,0,6.57,1,201
6.23,1,20.68,0,2.48,0,100
6.79,1,27,1,1.9,0,110
5.33,2,3.36,2,1.37,0,220
6.72,1,27,1,1.95,0,110
5,2,38.12,1,0.22,2,212
6.79,1,26.5,1,1.64,0,110
6.84,1,26.5,1,1.63,0,110
5.76,0,9.3,2,3.58,1,21
6.86,1,27,1,1.62,0,110
5.78,0,21.73,0,0.59,2,2
6.81,1,26.5,1,1.64,0,110
6.82,1,26.5,1,1.64,0,110
6.78,1,26.5,1,1.63,0,110
13.92,1,84.25,1,8.09,1,111
3.37,2,18.47,0,5.95,1,201
3.73,2,64.71,1,2.31,0,210
0.18,2,18.43,0,5.34,1,201
4.76,2,9.68,2,2.89,1,221
6.09,0,8.78,2,6.09,1,21
9.35,1,5.2,2,0.35,2,122
9.13,1,99.36,1,0.7,2,112
6.74,1,27,1,2,0,110
0.27,2,63.92,1,8.89,1,211
6.72,1,27,1,1.95,0,110
1.38,2,18.49,0,1.13,2,202
5.96,0,7.07,2,0.74,2,22
6.7,1,27,1,1.99,0,110
6.84,1,27,1,1.63,0,110
2.59,2,80.86,1,0.6,2,212
6,0,12.93,2,0.86,2,22
5.77,0,34.14,1,1.11,2,12
9.57,1,63.19,1,0.84,2,112
6.08,0,19.96,0,7.2,1,1
9.67,1,21.99,0,2.45,0,100
9.47,1,20.22,0,1.22,0,100
6.8,1,27,1,1.7,0,110
1.94,2,36.07,1,5.91,1,211
4.8,2,20.2,0,4,1,201
5.65,0,1.31,2,2.32,0,20
5.71,0,97.22,1,2.74,1,11
5.84,0,16.12,2,4.62,1,21
0.92,2,74.16,1,7.18,1,211
4.69,2,21.27,0,7.32,1,201
9.25,1,15.15,2,3.29,1,121
6.76,1,26,1,1.64,0,110
5.67,0,24.91,1,0.59,2,12
8.83,1,50.81,1,0.75,2,112
12.39,1,62.86,1,0.37,2,112
2.18,2,72.2,1,2.05,0,210
6.82,1,27,1,1.62,0,110
6.7,1,19.2,0,0.92,2,102
6.8,1,26.5,1,1.71,0,110
4.34,2,5.26,2,6.95,1,221
6.74,1,26,1,1.64,0,110
13.01,1,95.98,1,5.52,1,111
3.41,2,24.66,1,2.05,0,210
6.84,1,26.5,1,1.63,0,110
6.81,1,26.5,1,1.71,0,110
13.82,1,21.75,0,1.8,0,100
6.82,1,26.5,1,1.64,0,110
6.77,1,27,1,2.04,0,110
5.22,2,67.08,1,2.17,0,210
2.36,2,10.53,2,1.31,0,220
5.69,0,21,0,0.57,2,2
6.8,1,26.5,1,1.72,0,110
5.51,0,20.69,0,0.58,2,2
6.83,1,26.5,1,1.64,0,110
12.53,1,74.95,1,9.39,1,111
13.74,1,12.3,2,0.05,2,122
5.63,0,20.78,0,0.76,2,2
0.64,2,19.04,0,2.11,0,200
7.07,1,11.28,2,1.6,0,120
0.79,2,6.01,2,8.61,1,221
6.86,1,18.91,0,2.38,0,100
5.67,0,18.19,0,0.88,2,2
5.6,0,63.24,1,5.41,1,11
5.73,0,96.17,1,1.86,0,10
10.77,1,8.04,2,0.44,2,122
2.75,2,18.1,0,0.8,2,202
10.59,1,19.4,0,1.47,0,100
9.26,1,17.76,2,7.83,1,121
5.61,0,18.15,0,1.07,2,2
5.47,2,4.18,2,1.24,0,220
6.03,0,1.23,2,4.73,1,21
2.97,2,18.52,0,8,1,201
2.22,2,21.09,0,2.37,0,200
3.63,2,20.59,0,0.25,2,202
6.1,0,90.32,1,1.76,0,10
6.79,1,27,1,1.91,0,110
1.51,2,5.66,2,2.44,0,220
5.81,0,20,0,1.8,0,0
13.01,1,29.67,1,0.74,2,112
8,1,19.62,0,0.44,2,102
1.88,2,75.46,1,2.3,0,210
5.72,0,87.28,1,1.38,0,10
11.37,1,9.94,2,6.45,1,121
7.23,1,2.7,2,3.77,1,121
6.86,1,26.5,1,1.64,0,110
5.86,0,49.77,1,0.5,2,12
4.15,2,20.98,0,6.75,1,201
4.14,2,0.53,2,4.64,1,221
3.29,2,21.38,0,1.39,0,200
12.96,1,12.69,2,1.79,0,120
2.67,2,97.8,1,3.33,1,211
10.63,1,20.75,0,8.17,1,101
5.56,0,8.12,2,0.11,2,22
6.8,1,26.5,1,1.63,0,110
0.99,2,79.26,1,1.12,2,212
3.42,2,65.52,1,2.83,1,211
5.71,0,18.21,0,9.07,1,1
5.91,0,63.75,1,6.73,1,11
4.74,2,5.09,2,1.36,0,220
5.79,0,12.2,2,9.09,1,21
6.84,1,26.5,1,1.64,0,110
6.76,1,26.5,1,1.64,0,110
1.5,2,12.7,2,3.94,1,221
5.74,0,28.75,1,6.48,1,11
8.24,1,0.8,2,0.33,2,122
3.21,2,20.61,0,1.36,0,200
9.67,1,19.96,0,0.69,2,102
7.24,1,48.59,1,9.03,1,111
5.64,0,22.26,1,2.28,0,10
6.81,1,26.5,1,1.62,0,110
6.73,1,27,1,1.85,0,110
7.7,1,82,1,0.06,2,112
2.26,2,18.83,0,0.58,2,202
5.72,0,30.18,1,0.7,2,12
2.54,2,20.59,0,9.41,1,201
8.31,1,5.35,2,0.93,2,122
4.24,2,62.42,1,1.02,2,212
6.79,1,26.5,1,1.72,0,110
6.8,1,26.5,1,1.64,0,110
5.6,0,6.42,2,3.36,1,21
0.59,2,13.64,2,5.03,1,221
6.42,1,22.86,1,7.85,1,111
10.64,1,21.43,0,0.72,2,102
0.24,2,20.88,0,1.75,0,200
5.67,0,0.74,2,3.64,1,21
11.8,1,18.26,0,0.34,2,102
1.54,2,98.74,1,1.85,0,210
4.84,2,7.09,2,0.81,2,222
2,2,4.47,2,1.28,0,220
1.26,2,5.72,2,2.8,1,221
6.76,1,43.23,1,8.06,1,111
6.71,1,27,1,1.97,0,110
9.43,1,2.87,2,2.24,0,120
6.86,1,27,1,1.62,0,110
13.59,1,21.13,0,2.34,0,100
6.8,1,26.5,1,1.64,0,110
5.59,0,34.37,1,1.41,0,10
4.36,2,20.84,0,0.17,2,202
6.72,1,27,1,2,0,110
4.28,2,7,2,0.12,2,222
13.9,1,8.78,2,5.82,1,121
7.7,1,52.33,1,0.29,2,112
5.98,0,21.7,0,5.94,1,1
5.9,0,63.5,1,1.67,0,10
5.73,0,76.63,1,5.92,1,11
6.86,1,26.5,1,1.63,0,110
5.77,0,21.73,0,4.61,1,1
5.71,0,82.11,1,1.83,0,10
0.78,2,21.55,0,0.34,2,202
1.8,2,32.81,1,1.51,0,210
4.42,2,18.02,0,1.87,0,200
0.84,2,85.28,1,6.61,1,211
6.71,1,27,1,1.86,0,110
12.71,1,20.35,0,3.72,1,101
6.72,1,27,1,2.03,0,110
5.87,0,75.48,1,1.75,0,10
5.57,0,41.23,1,7.53,1,11
6.74,1,27,1,2.05,0,110
2.17,2,18.99,0,9.61,1,201
1.08,2,34.3,1,2.12,0,210
1.17,2,21.34,0,0.07,2,202
6.11,0,29.62,1,2.34,0,10
6.06,0,20.76,0,6.86,1,1
13.48,1,24.08,1,5.41,1,111
8.9,1,16.2,2,6.54,1,121
9.63,1,12.3,2,0.9,2,122
4.27,2,19.44,0,0.48,2,202
6.16,0,11.97,2,7.26,1,21
11.15,1,12.28,2,4.43,1,121
6.8,1,26.5,1,1.71,0,110
11.65,1,6.27,2,3.27,1,121
6.15,0,20.95,0,7.76,1,1
6.74,1,27,1,1.94,0,110
2.73,2,65.58,1,0.84,2,212
6.76,1,26.5,1,1.62,0,110
9.2,1,19.62,0,6.35,1,101
9.28,1,13.43,2,6.67,1,121
2.01,2,19.89,0,0.45,2,202
4.08,2,18.31,0,1.36,0,200
5.99,0,63.51,1,1.31,0,10
6.78,1,26.5,1,1.64,0,110
5.72,0,18,0,1.3,0,0
10.27,1,69.33,1,6.43,1,111
6.84,1,26.5,1,1.63,0,110
6.11,0,12.29,2,2.47,0,20
5.55,0,18.33,0,4.63,1,1
6.71,1,27,1,1.92,0,110
0.08,2,67.44,1,0.96,2,212
6.83,1,26.5,1,1.63,0,110
6.78,1,27,1,1.95,0,110
3.51,2,21.42,0,1.3,0,200
12.16,1,11.75,2,1.63,0,120
2.3,2,19.27,0,5.69,1,201
3.34,2,10.8,2,0.32,2,222
7.13,1,8.88,2,5.77,1,121
6.91,1,18.91,0,1.73,0,100
11.14,1,19.72,0,1.22,0,100
4.78,2,2.04,2,1.91,0,220
5.77,0,6.29,2,0.35,2,22
5.82,0,9.26,2,0.18,2,22
6.04,0,0.58,2,9.1,1,21
4.28,2,95.85,1,1.18,2,212
5.64,0,39.12,1,1.19,2,12
1.81,2,11.37,2,9.21,1,221
4.39,2,12.32,2,1.77,0,220
3.8,2,78.46,1,2.23,0,210
3.42,2,18.56,0,6.91,1,201
13.34,1,18.24,0,6.66,1,101
5.98,0,98.32,1,0.71,2,12
12.13,1,19.03,0,1.2,0,100
6,0,73.13,1,0.5,2,12
5.51,0,64.26,1,0.82,2,12
6.74,1,26.5,1,2.05,0,110
6.76,1,26.5,1,2.05,0,110
11.68,1,11.3,2,0.28,2,122
13.78,1,20.12,0,9.17,1,101
13.56,1,38.96,1,1.15,2,112
11.35,1,1.61,2,2.08,0,120
6.83,1,26.5,1,1.63,0,110
5.44,2,15.41,2,1.75,0,220
7.26,1,18.17,0,2.43,0,100
6.7,1,27,1,1.97,0,110
6.76,1,26.5,1,1.99,0,110
6.11,0,20.97,0,4.59,1,1
6.74,1,27,1,2.01,0,110
3.26,2,1.27,2,1.94,0,220
8.47,1,35.76,1,0.94,2,112
0.47,2,19.76,0,1.66,0,200
6.32,1,2.27,2,0.17,2,122
5.57,0,84.48,1,0.6,2,12
5.77,0,21.63,0,5.89,1,1
1.53,2,20.93,0,8.65,1,201
6.79,1,26.5,1,1.71,0,110
6.77,1,27,1,1.7,0,110
3.41,2,93.27,1,1.83,0,210
6.04,0,64.12,1,0.61,2,12
6.02,0,1.16,2,0.82,2,22
5.67,0,19,0,1.98,0,0
6.2,0,99.73,1,1.97,0,10
6.78,1,27,1,1.7,0,110
6.16,0,16.5,2,1.93,0,20
3.36,2,55.38,1,9.88,1,211
11.29,1,16.57,2,0.28,2,122
6.84,1,26.5,1,1.63,0,110
12.01,1,40.19,1,0.97,2,112
6.1,0,4.38,2,5.83,1,21
2.35,2,0.2,2,2.26,0,220
6.15,0,5.33,2,0.04,2,22
6.06,0,21.34,0,4.58,1,1
6.8,1,26.5,1,1.72,0,110
6.64,1,66.54,1,8.74,1,111
8.17,1,59.62,1,4,1,111
5.69,0,9.4,2,2.04,0,20
10.3,1,1.27,2,0.3,2,122
6.83,1,27,1,1.63,0,110
1.52,2,35.2,1,0.95,2,212
6.78,1,26.5,1,1.63,0,110
12.53,1,6.55,2,6.34,1,121
5.82,0,18.54,0,3.75,1,1
3.84,2,75.87,1,1.56,0,210
6.83,1,26.5,1,1.64,0,110
2.44,2,18.78,0,4.2,1,201
6.79,1,26.5,1,2.01,0,110
0.28,2,65.9,1,1.29,0,210
1.83,2,6.87,2,1.26,0,220
8.62,1,8.67,2,4.26,1,121
6.77,1,26.5,1,2.01,0,110
3.36,2,56.74,1,0.23,2,212
11.39,1,64.95,1,1.1,2,112
5.71,0,19.06,0,1.06,2,2
3.52,2,20.87,0,1.02,2,202
13.2,1,46.29,1,3.86,1,111
2.04,2,21.11,0,1.22,0,200
6.09,0,6.84,2,0.05,2,22
6.81,1,26.5,1,1.63,0,110
5.71,0,0.3,2,1.01,2,22
6.78,1,27,1,1.86,0,110
5.87,0,21.03,0,9.92,1,1
5.53,0,58.07,1,0.04,2,12
2.2,2,42.64,1,0.43,2,212
3.76,2,19.27,0,0.88,2,202
2.57,2,15.31,2,8.55,1,221
10.22,1,39.82,1,0.04,2,112
13.37,1,20.27,0,1.63,0,100
12.78,1,0.34,2,2.47,0,120
5.97,0,17.96,2,2.15,0,20
8.62,1,16.11,2,2.39,0,120
6.76,1,26.5,1,1.97,0,110
5.97,0,20.11,0,7.71,1,1
5.29,2,55.76,1,3.89,1,211
6.79,1,26.5,1,1.63,0,110
3.33,2,65.94,1,4.34,1,211
11.81,1,20.08,0,0.67,2,102
5.73,0,7.3,2,1.2,0,20
5.96,0,26.52,1,0.21,2,12
5.69,0,1.76,2,1.93,0,20
6.05,0,75.02,1,8.85,1,11
11.15,1,12.01,2,1.01,2,122
10.55,1,18.19,0,0.26,2,102
6.05,0,19.3,0,0.03,2,2
5.49,2,1.57,2,1.69,0,220
6.8,1,26.5,1,1.64,0,110
0.48,2,82.76,1,2.75,1,211
1.41,2,86.11,1,0.1,2,212
6.14,0,21.07,0,5.2,1,1
9.97,1,11.5,2,7.74,1,121
6.15,0,9.86,2,5.74,1,21
4.18,2,43.5,1,1.62,0,210
11.97,1,97.38,1,0.47,2,112
5.73,0,20.86,0,2.52,1,1
4.02,2,75.24,1,0.85,2,212
0.67,2,20.65,0,1.14,2,202
6.84,1,12.74,2,1.02,2,122
6.8,1,26.5,1,1.62,0,110
5.86,0,2.67,2,8,1,21
2.38,2,4.83,2,1.22,0,220
4.73,2,23.03,1,0.8,2,212
6.78,1,26.5,1,1.71,0,110
5.8,0,71.31,1,1.04,2,12
5.91,0,9.21,2,1.16,2,22
5.87,0,41.33,1,2.31,0,10
1.35,2,68.3,1,2.02,0,210
5.84,0,13.42,2,0.07,2,22
13.71,1,18.95,0,2.06,0,100
5.74,0,20.96,0,9.12,1,1
9.03,1,52.02,1,3.94,1,111
6.74,1,27,1,1.88,0,110
12.66,1,91.35,1,9.89,1,111
5.81,0,33.82,1,3.68,1,11
6.19,0,68.08,1,1.34,0,10
6.82,1,27,1,1.74,0,110
6.79,1,26.5,1,1.66,0,110
3.98,2,17.44,2,1.63,0,220
6.75,1,26.5,1,1.62,0,110
6.77,1,26.5,1,1.64,0,110
3.45,2,47.17,1,3.59,1,211
6.73,1,27,1,2,0,110
7.23,1,21.08,0,0.24,2,102
11.3,1,2.77,2,5.6,1,121
6.76,1,26.5,1,1.64,0,110
11.41,1,42.9,1,4.95,1,111
5.74,0,35.52,1,0.55,2,12
3.7,2,19.94,0,1.15,2,202
1.67,2,15.34,2,0.22,2,222
4.7,2,72.89,1,0.21,2,212
0.23,2,15.65,2,2.03,0,220
6.19,0,20,0,1.58,0,0
6.79,1,26.5,1,1.71,0,110
5.66,0,19.8,0,4.4,1,1
6.78,1,26.5,1,1.63,0,110
5.7,0,32.24,1,0.99,2,12
5.69,0,20,0,2.12,0,0
6.75,1,27,1,2.04,0,110
5.68,0,8.24,2,1.47,0,20
6.79,1,26.5,1,1.64,0,110
0.16,2,20.83,0,6.57,1,201
5.93,0,16.04,2,2.43,0,20
6.71,1,27,1,2.02,0,110
6.79,1,26.5,1,1.56,0,110
3.11,2,24.3,1,2.34,0,210
5.9,0,73.54,1,4.3,1,11
6.82,1,27,1,1.63,0,110
6.13,0,2.35,2,2.25,0,20
5,2,70.73,1,2.26,0,210
13.82,1,21.5,0,5.81,1,101
6.84,1,26.5,1,1.63,0,110
1.18,2,8.88,2,1.18,2,222
9.06,1,15.66,2,2.01,0,120
6.16,0,78.22,1,2.1,0,10
10.4,1,20.43,0,9.19,1,101
6.69,1,27,1,2,0,110
6.83,1,26.5,1,1.63,0,110
0.53,2,10.94,2,9.46,1,221
6.15,0,48.35,1,0.14,2,12
6.18,0,65.95,1,2.73,1,11
2.76,2,20.82,0,0.63,2,202
6.8,1,27,1,1.85,0,110
1.8,2,73.98,1,2.17,0,210
11.84,1,19.63,0,9.9,1,101
5.78,0,55.41,1,2.34,0,10
9.57,1,5.78,2,2.16,0,120
0.82,2,22.06,1,9.35,1,211
6.77,1,27,1,1.73,0,110
5.55,0,22,0,1.91,0,0
5.53,0,31.84,1,6.5,1,11
0.81,2,17.96,2,1.35,0,220
13.39,1,77.82,1,2.8,1,111
6.06,0,19.82,0,5.36,1,1
3.31,2,3.05,2,1.14,2,222
6.8,1,26.5,1,1.63,0,110
6.29,1,7.36,2,0.7,2,122
6.61,1,1.27,2,6.52,1,121
6.77,1,26.5,1,1.72,0,110
6.79,1,26.5,1,1.64,0,110
10.02,1,18.06,0,9.34,1,101
5.84,0,18.84,0,0.02,2,2
6.75,1,26,1,1.63,0,110
3.53,2,2.93,2,3.48,1,221
6.78,1,26.5,1,2,0,110
7.08,1,20.2,0,0.9,2,102
5.8,0,21,0,2.29,0,0
6.11,0,83.42,1,3.96,1,11
7.75,1,9.18,2,0.01,2,122
11.79,1,18.3,0,4.78,1,101
3.63,2,12.35,2,1.89,0,220
7,1,21.62,0,0.56,2,102
6.89,1,19.26,0,1.41,0,100
3.61,2,18.71,0,2.27,0,200
3.82,2,22.2,1,6.99,1,211
5.77,0,0.57,2,7.51,1,21
6.78,1,26,1,1.64,0,110
6.76,1,26.5,1,1.99,0,110
6.05,0,5.74,2,2.34,0,20
11.77,1,23.89,1,7.33,1,111
0.49,2,66.05,1,7.27,1,211
10.87,1,18.79,0,1.7,0,100
2.75,2,32.69,1,1.09,2,212
6.83,1,27,1,1.62,0,110
11.25,1,84.91,1,8.14,1,111
6.77,1,27,1,1.7,0,110
2.79,2,5.65,2,0.72,2,222
5.78,0,91.93,1,2.01,0,10
6.4,1,58.83,1,9.98,1,111
7.9,1,21.78,0,2.44,0,100
5.96,0,6.46,2,1.16,2,22
5.58,0,49.43,1,7.47,1,11
9.82,1,13.52,2,1.29,0,120
9.49,1,19.84,0,0.46,2,102
6.74,1,27,1,1.9,0,110
5.57,0,90.68,1,3.57,1,11
0.69,2,43.25,1,7.41,1,211
6.75,1,27,1,1.88,0,110
6.76,1,26.5,1,1.62,0,110
5.53,0,38.87,1,1.21,0,10
6.77,1,27,1,2.1,0,110
8.04,1,42.86,1,0.11,2,112
9.7,1,88.04,1,1.17,2,112
5.87,0,19.37,0,0.65,2,2
6.86,1,27,1,1.62,0,110
4.18,2,7.09,2,0.2,2,222
5.88,0,71.32,1,9.88,1,11
0.63,2,94.02,1,0.93,2,212
9.05,1,19.52,0,0.41,2,102
13.82,1,17.25,2,1.41,0,120
5.65,0,83.21,1,1.03,2,12
13.27,1,1.6,2,2.05,0,120
13.81,1,72.56,1,3.99,1,111
6.83,1,26.5,1,1.7,0,110
6.82,1,26.5,1,1.64,0,110
6.82,1,26.5,1,1.63,0,110
5.52,0,6.91,2,2.3,0,20
6.79,1,27,1,1.86,0,110
6.81,1,26.5,1,1.71,0,110
5.72,0,21.21,0,1.18,2,2
11.22,1,42.09,1,0.13,2,112
9.86,1,91.94,1,7.71,1,111
6.84,1,27,1,1.62,0,110
5.69,0,1.76,2,3.67,1,21
5.77,0,19.17,0,7.38,1,1
5.81,0,21.82,0,0.68,2,2
2.76,2,68.66,1,2.02,0,210
6.77,1,26.5,1,2.01,0,110
7.58,1,1.91,2,2.45,0,120
3.51,2,18.46,0,9.18,1,201
2.59,2,20.06,0,8.49,1,201
3.1,2,10.13,2,4.44,1,221
13.87,1,5.13,2,0.47,2,122
9.48,1,20.21,0,5.89,1,101
5.99,0,19.69,0,8.38,1,1
6.8,1,27,1,1.85,0,110
4.22,2,77.34,1,0.56,2,212
0.62,2,1.37,2,0.26,2,222
5.9,0,1.93,2,2.23,0,20
9.25,1,18.04,0,2.41,0,100
10.14,1,5.99,2,0.11,2,122
5.75,0,95.96,1,6.33,1,11
7.81,1,76.34,1,8.68,1,111
5.42,2,41.23,1,2.2,0,210
5.36,2,5.34,2,0.4,2,222
6.77,1,26.5,1,1.73,0,110
6.83,1,26.5,1,1.63,0,110
6.79,1,26.5,1,1.73,0,110
3.67,2,6.7,2,1.17,2,222
5.55,0,2.98,2,0.19,2,22
6.1,0,20.43,0,0.41,2,2
6.69,1,27,1,1.97,0,110
2.53,2,20.54,0,0.95,2,202
5.52,0,22.1,1,1.38,0,10
9.61,1,1.3,2,2.38,0,120
0.04,2,57.61,1,8.43,1,211
5.83,0,18.8,0,2.64,1,1
6.02,0,19.56,0,0.22,2,2
3,2,96.92,1,9.2,1,211
5.75,0,19.9,0,0.02,2,2
6.77,1,27,1,1.87,0,110
2.26,2,54.84,1,3.46,1,211
5.71,0,19.99,0,0.29,2,2
6.77,1,27,1,2.04,0,110
6.04,0,16.49,2,2.81,1,21
5.97,0,63.21,1,6.75,1,11
9.02,1,11.14,2,2.4,0,120
0.32,2,10.19,2,0.16,2,222
6.69,1,16.58,2,0.99,2,122
0.48,2,18.83,0,1.82,0,200
6.82,1,26.5,1,1.63,0,110
5.81,0,15.99,2,5.85,1,21
0.11,2,11.6,2,7.75,1,221
9.05,1,8.12,2,8.45,1,121
6.05,0,19,0,2.41,0,0
5.9,0,12.06,2,0.54,2,22
5.63,0,48.18,1,1.18,2,12
5.71,0,35.63,1,2.06,0,10
0.65,2,61.95,1,0.84,2,212
6.75,1,26.5,1,1.71,0,110
5.87,0,54.31,1,0.77,2,12
6.78,1,27,1,1.89,0,110
6.83,1,27,1,1.63,0,110
12.78,1,12.04,2,6.59,1,121
6.05,0,84.17,1,1.07,2,12
5.93,0,38.65,1,1.45,0,10
5.79,0,21,0,2.44,0,0
13.07,1,19.26,0,2.44,0,100
12.69,1,19.31,0,2.61,1,101
6.84,1,27,1,1.62,0,110
6.79,1,27,1,1.89,0,110
6.03,0,8.9,2,0.06,2,22
6.07,0,15.44,2,9.61,1,21
6.69,1,27,1,1.99,0,110
12.67,1,21,0,1.52,0,100
2.2,2,19.56,0,0.03,2,202
5.6,0,1.53,2,2.23,0,20
8.71,1,2.07,2,0.7,2,122
3.18,2,0.51,2,2.29,0,220
13.98,1,47.77,1,6.67,1,111
9.93,1,36.37,1,5.21,1,111
6.81,1,26.5,1,1.72,0,110
0.16,2,6.52,2,3.31,1,221
6.78,1,26.5,1,1.71,0,110
3.48,2,20.04,0,5.05,1,201
10.93,1,20.11,0,2.28,0,100
6.8,1,27,1,1.85,0,110
0.24,2,18.94,0,8.57,1,201
1.93,2,2.33,2,0.73,2,222
6.75,1,26,1,1.64,0,110
8.98,1,2.11,2,1.04,2,122
6.76,1,26.5,1,1.62,0,110
11.01,1,13.41,2,2.46,0,120
5.78,0,13.99,2,1.43,0,20
4.36,2,67.38,1,1.1,2,212
2.58,2,16.1,2,0.14,2,222
6.79,1,26.5,1,1.64,0,110
13.56,1,20.55,0,4.96,1,101
4.65,2,2.62,2,2.04,0,220
6.78,1,26.5,1,1.63,0,110
5.61,0,21,0,1.65,0,0
12.66,1,60.42,1,7.7,1,111
6.73,1,27,1,1.95,0,110
12.6,1,19.33,0,4.19,1,101
6.67,1,27,1,1.77,0,110
6.69,1,27,1,2,0,110
5.87,0,20.62,0,9.56,1,1
5.96,0,51.93,1,0.31,2,12
4.72,2,1.22,2,0.93,2,222
4.54,2,4.93,2,1.25,0,220
5.88,0,50.78,1,7.71,1,11
5.8,0,7.08,2,2.41,0,20
7.29,1,3.32,2,9.72,1,121
6.79,1,26.5,1,1.71,0,110
1.1,2,18.34,0,2.39,0,200
4.61,2,3.52,2,0.76,2,222
6.01,0,12.37,2,1.31,0,20
6.8,1,27,1,1.89,0,110
1.11,2,20.68,0,3.09,1,201
3.16,2,33.51,1,1.54,0,210
5.75,0,57.76,1,6,1,11
5.97,0,18,0,1.72,0,0
5.81,0,70.56,1,0.68,2,12
6.78,1,26.5,1,1.71,0,110
8.98,1,19.21,0,1.68,0,100
6.77,1,27,1,1.95,0,110
5.65,0,30.18,1,8.92,1,11
6.8,1,27,1,1.7,0,110
6.84,1,26.5,1,1.63,0,110
5.57,0,21.2,0,6.82,1,1
10.69,1,1.81,2,4.54,1,121
0.93,2,7.67,2,1.28,0,220
7.9,1,96.26,1,9.84,1,111
4.1,2,83.13,1,1.8,0,210
1.69,2,4.82,2,4.14,1,221
3.64,2,43.17,1,5.26,1,211
6.76,1,26.5,1,1.65,0,110
6.7,1,27,1,1.99,0,110
6.81,1,26.5,1,1.72,0,110
0.36,2,1.23,2,9.65,1,221
9.09,1,20.06,0,0.8,2,102
5.86,0,22,0,2.41,0,0
0.29,2,8.51,2,2.53,1,221
6.66,1,27,1,1.98,0,110
5.31,2,11.75,2,6.12,1,221
5.87,0,14.35,2,9.4,1,21
5.82,0,11.57,2,8.06,1,21
2.81,2,6.71,2,3.5,1,221
13.68,1,35.83,1,0.36,2,112
